Article_num,EAN,Map,Plant,Stor_loc,Material_description,Segment,Family,Class
490001980,7622202026461,178.84,U2RZ,1000,BOURNVITA 5 STAR MAGIC 500 g PCH,BEVERAGES,HEALTH DRINKS,HEALTH DRINKS
491336860,8906010500566,52.95,U2RZ,1000,BALAJI TIKHA MITHA MIX 500 g PP,CONFECTIONARY & SNACKS,SNACKS,SNACKS
490011037,8904043701486,37,U2RZ,2997,SHREE JEERA 100g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
490011037,8904043701486,37,U2RZ,1000,SHREE JEERA 100g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
490240937,8904092430009,48,U2RZ,2997,KALORY SANDWICH BREAD 800g PP,DAIRY,BRANDED BAKERY FRESH BAKERY,BREAD
490240937,8904092430009,48,U2RZ,1000,KALORY SANDWICH BREAD 800g PP,DAIRY,BRANDED BAKERY FRESH BAKERY,BREAD
493680401,8904037882160,67.84,U2RZ,1000,GM GEO 12W LED BULB 1260 LUMNS CBD,#N/A,#N/A,#N/A
492166401,8908014665005,24.76,U2RZ,1000,MAMIE YOVA FRENCH YOGURT MANGO 90 g  CUP,DAIRY,FRESH MILK PRODUCTS,YOGHURT
490558559,4796008921091,13.77,U2RZ,1000,REAL FRUIT POWER ORANGE DRINK 180 ML TPK,BEVERAGES,JUICES,FRUIT JUICES & DRINKS
490002345,8909106005235,47.44,U2RZ,1000,PEPSODENT GERMICHCK CVTYPRTCTN TP100GCBD,PERSONAL CARE,P'SONAL HYGN,ORAL HYGN
490916734,8902080105021,19.37,U2RZ,1000,PEPSI COLA FLV SOFT DRINK 250ml CAN,BEVERAGES,DRINKS,CARBONATED SOFT DRINKS
491551491,8908012731009,64.35,U2RZ,1000,DR. BRAND ROCK SALT 1 kg PP,STAPLES,SALT,SALT
491376845,8903622005618,92.4,U2RZ,1000,SOFY BDYFT MAINTN HYGN SNTRYPDS XL18N PP,PERSONAL CARE,P'SONAL HYGN,FEM HYGN
494403348,8906000361399,126.42,U2RZ,1000,JEWEL PL LN BX SAFE SNACK IN STEL 650ML,HOUSEWARE,Bottle and lunch box,Lunch Packs
493032322,8901071704335,34.96,U2RZ,1000,HERSHEY KISS HAZELNUT N COOKIES 33.6g PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
494403243,8906123062487,45.08,U2RZ,1000,IT SCENTED INFLATABLE BALL,TOYS,OTHER  TOYS,INFLATABLE
490012710,8906007280990,816.91,U2RZ,1000,FORTUNE PRM KACHI GHANI MSTRD OIL 5L CAN,STAPLES,EDIBLE OILS,EDIBLE OILS
490002694,8901396053002,51.02,U2RZ,1000,CHERRY BLOSSOM DRK TN SHOE POLSH 40g TIN,HOME CARE,H'HOLD CLNG/CARENG/CARE,SURFACE CARE
491638204,8906017291443,15.71,U2RZ,1000,BISLERI LIMONATA LIME JUICE 600ml PET,BEVERAGES,DRINKS,CARBONATED SOFT DRINKS
